Row Labels,Anchovy,Banana,Beef,Cassava,Cassava Chips(Kokonte),Coconut Oil,Cocoyam,Cowpea,Dried pepper,Eggs commercial,Fresh pepper,Garden Egg,Gari,Ginger,Groundnut (Red),Groundnut Oil,Live bird,Maize ,Mango,Millet,Okro,Onion,Oranges,Paddy Rice,Palm  Fruit,Palm Oil,Pineapple,Plantain (Apem),Plantain (Apentu),Pork,Rice - Imported (non-perfumed),Rice - Imported (perfumed),Rice Local  (local perfumed),Rice Local (non-perfumed),Salted Dried Fish(Koobi),Smoked Herrings,Sorghum,Soya Bean,Tomatoes,Yam (White)
ACCRA,#DIV/0!,6,,60,100,88,240,380,420,16,120,120,120,280,500,#DIV/0!,,155,#DIV/0!,200,#DIV/0!,320,24,#DIV/0!,#DIV/0!,75,130,15,10,,195,240,220,190,200,45,190,300,650,300
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,235,#DIV/0!,14,#DIV/0!,#DIV/0!,100,#DIV/0!,350,50,,110,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,90,#DIV/0!,240,400
CAPECOAST,400,9,,68,100,90,300,370,150,16,170,90,170,140,450,#DIV/0!,,190,#DIV/0!,200,80,600,17,135,30,80,120,28,13.5,,220,290,180,160,150,42,220,450,400,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,120,320,600,15,240,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,360,12,#DIV/0!,60,120,#DIV/0!,22,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,60,200,#DIV/0!,450,#DIV/0!
KUMASI,#DIV/0!,9,,42,#DIV/0!,#DIV/0!,110,235,240,17,84,#DIV/0!,184,#DIV/0!,500,#DIV/0!,,150,50,175,240,700,8,80,#DIV/0!,70,#DIV/0!,34,11,,200,250,160,150,#DIV/0!,75,160,120,300,220
MANKESSIM,500,5,,47,92,95,192,385,300,16.2,115,90,150,146,475,#DIV/0!,,175,#DIV/0!,228,69,500,10,150,50,85,160,16,10,,225,300,200,187,190,38,230,380,500,300
OBUASI,120,#DIV/0!,,30,#DIV/0!,300,100,500,550,400,250,75,120,#DIV/0!,400,60,,170,60,170,250,600,16,100,50,70,100,10,5,,135,190,180,180,120,#DIV/0!,220,100,500,400
SUNYANI,60,5,,35,32,#DIV/0!,95,270,175,15,80,60,100,150,440,#DIV/0!,,120,#DIV/0!,180,#DIV/0!,400,10,#DIV/0!,48,60,40,10,8,,190,250,220,240,18,70,180,220,150,270
TAKORADI,#DIV/0!,12,,75,100,120,180,400,#DIV/0!,17,180,100,140,160,500,#DIV/0!,,165,#DIV/0!,220,65,380,15,180,50,85,220,30,24,,240,320,250,200,250,45,200,250,350,380
TAMALE,#DIV/0!,40,,80,70,#DIV/0!,150,240,112,14,50,25,120,150,360,66,,120,#DIV/0!,140,30,500,20,80,30,87,400,30,20,,300,230,120,100,#DIV/0!,#DIV/0!,140,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,220,280,15,38,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,108,#DIV/0!,140,#DIV/0!,268,8,130,50,90,#DIV/0!,15,10,,250,300,250,250,#DIV/0!,50,150,#DIV/0!,230,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,366,450,18,#DIV/0!,90,134,250,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,600,25,#DIV/0!,#DIV/0!,110,#DIV/0!,25,15,,300,230,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,800,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,272,480,16,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,143.1,#DIV/0!,600,19,127.8,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,180,260
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,6,,60,100,88,240,380,420,16,120,120,120,280,500,#DIV/0!,,155,#DIV/0!,200,#DIV/0!,320,24,#DIV/0!,#DIV/0!,75,130,15,10,,195,240,220,190,200,45,190,300,650,300
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,235,#DIV/0!,14,#DIV/0!,#DIV/0!,100,#DIV/0!,350,50,,110,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,90,#DIV/0!,240,400
CAPECOAST,400,9,,68,100,90,300,370,150,16,170,90,170,140,450,#DIV/0!,,190,#DIV/0!,200,80,600,17,135,30,80,120,28,13.5,,220,290,180,160,150,42,220,450,400,400
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,120,320,600,15,240,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,360,12,#DIV/0!,60,120,#DIV/0!,22,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,60,200,#DIV/0!,450,#DIV/0!
KUMASI,#DIV/0!,10,,43,#DIV/0!,#DIV/0!,125,230,240,17,72,64,180,230,500,120,,145,#DIV/0!,180,#DIV/0!,740,10,82,#DIV/0!,75,#DIV/0!,35,12,,200,250,160,150,#DIV/0!,70,165,240,260,230
MANKESSIM,500,5,,47,92,95,192,385,300,16.2,115,90,150,146,475,#DIV/0!,,175,#DIV/0!,228,69,500,10,150,50,85,160,16,10,,225,300,200,187,190,38,230,380,500,300
OBUASI,120,#DIV/0!,,30,120,60,100,500,550,16,250,60,400,250,400,100,,170,100,170,75,600,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,500,400
SUNYANI,60,5,,40,32,#DIV/0!,95,270,175,15,60,70,150,130,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,260,10,#DIV/0!,48,60,40,7,5,,190,250,220,240,18,70,180,220,260,300
TAKORADI,#DIV/0!,12,,75,100,120,180,400,#DIV/0!,17,180,100,140,160,500,#DIV/0!,,165,#DIV/0!,220,65,380,15,180,50,85,220,30,24,,240,320,250,200,250,45,200,250,350,380
TAMALE,#DIV/0!,40,,80,70,#DIV/0!,150,240,112,14,50,25,120,150,360,66,,120,#DIV/0!,140,30,500,20,80,30,87,400,30,20,,300,230,120,100,#DIV/0!,#DIV/0!,140,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,220,280,15,38,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,108,#DIV/0!,140,#DIV/0!,268,8,130,50,90,#DIV/0!,15,10,,250,300,250,250,#DIV/0!,50,150,#DIV/0!,230,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,366,450,18,#DIV/0!,90,134,250,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,600,25,#DIV/0!,#DIV/0!,110,#DIV/0!,25,15,,300,230,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,1000,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,272,480,16,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,143.1,#DIV/0!,600,19,127.8,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,180,260
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,6,,60,100,88,240,380,420,16,120,120,120,280,500,#DIV/0!,,155,#DIV/0!,200,#DIV/0!,320,24,#DIV/0!,#DIV/0!,75,130,15,10,,195,240,220,190,200,45,190,300,650,300
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,235,#DIV/0!,14,#DIV/0!,#DIV/0!,100,#DIV/0!,350,50,,110,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,90,#DIV/0!,240,400
CAPECOAST,400,7,,70,100,95,300,370,150,16,140,80,170,140,450,#DIV/0!,,170,#DIV/0!,200,60,600,17,135,30,85,120,22,16,,220,290,190,170,150,40,220,450,600,450
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,50,#DIV/0!,#DIV/0!,120,320,600,17,100,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,600,10,#DIV/0!,60,120,#DIV/0!,24,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,55,200,#DIV/0!,650,#DIV/0!
KUMASI,#DIV/0!,10,,43,#DIV/0!,#DIV/0!,125,230,240,17,72,64,180,230,500,120,,145,#DIV/0!,180,#DIV/0!,740,10,82,#DIV/0!,75,#DIV/0!,35,12,,200,250,160,150,#DIV/0!,70,165,240,260,230
MANKESSIM,480,5,,62,96,95,240,385,250,16,88,74,154,156,460,#DIV/0!,,190,#DIV/0!,230,72,650,12,153,62,83,160,18,11,,227,300,200,185,190,45,235,375,500,450
OBUASI,120,#DIV/0!,,30,120,60,100,500,550,16,250,60,400,250,400,100,,170,100,170,75,600,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,500,400
SUNYANI,60,5,,40,32,#DIV/0!,95,270,175,15,60,70,150,130,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,260,10,#DIV/0!,48,60,40,7,5,,190,250,220,240,18,70,180,220,260,300
TAKORADI,#DIV/0!,10,,85,100,120,200,380,650,17,250,80,150,160,480,#DIV/0!,,166,#DIV/0!,240,75,450,15,180,60,85,160,32,28,,250,320,200,180,250,45,220,250,550,400
TAMALE,#DIV/0!,40,,80,70,#DIV/0!,150,240,112,14,50,25,120,150,360,66,,120,#DIV/0!,140,30,500,20,80,30,87,400,30,20,,300,230,120,100,#DIV/0!,#DIV/0!,140,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,220,280,15,38,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,108,#DIV/0!,140,#DIV/0!,268,8,130,50,90,#DIV/0!,15,10,,250,300,250,250,#DIV/0!,50,150,#DIV/0!,230,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,366,450,18,#DIV/0!,90,140,250,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,540,25,#DIV/0!,150,#DIV/0!,#DIV/0!,25,15,,300,230,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,500,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,272,480,16,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,143.1,#DIV/0!,600,19,127.8,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,180,260
DECEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,6,,60,100,88,240,380,420,16,120,120,120,280,500,#DIV/0!,,155,#DIV/0!,200,#DIV/0!,320,24,#DIV/0!,#DIV/0!,75,130,15,10,,195,240,220,190,200,45,190,300,650,300
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,235,#DIV/0!,14,#DIV/0!,#DIV/0!,100,#DIV/0!,350,50,,110,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,90,#DIV/0!,240,400
CAPECOAST,400,7,,70,100,95,300,370,150,16,140,80,170,140,450,#DIV/0!,,170,#DIV/0!,200,60,600,17,135,30,85,120,22,16,,220,290,190,170,150,40,220,450,600,450
EJURA,#DIV/0!,10,,18,50,#DIV/0!,150,250,300,15,120,60,200,150,520,#DIV/0!,,150,#DIV/0!,140,#DIV/0!,400,10,90,#DIV/0!,85,#DIV/0!,15,12,,240,280,180,160,320,#DIV/0!,140,160,220,420
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,50,#DIV/0!,#DIV/0!,120,320,600,17,100,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,600,10,#DIV/0!,60,120,#DIV/0!,24,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,55,200,#DIV/0!,650,#DIV/0!
KUMASI,#DIV/0!,10,,43,#DIV/0!,#DIV/0!,125,230,240,17,72,64,180,230,500,120,,145,#DIV/0!,180,#DIV/0!,740,10,82,#DIV/0!,75,#DIV/0!,35,12,,200,250,160,150,#DIV/0!,70,165,240,260,230
MANKESSIM,480,5,,62,96,95,240,385,250,16,88,74,154,156,460,#DIV/0!,,190,#DIV/0!,230,72,650,12,153,62,83,160,18,11,,227,300,200,185,190,45,235,375,500,450
OBUASI,120,#DIV/0!,,30,120,60,100,500,550,16,250,60,400,250,400,100,,170,100,170,75,600,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,500,400
SUNYANI,60,5,,40,32,#DIV/0!,95,270,175,15,60,70,150,130,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,260,10,#DIV/0!,48,60,40,7,5,,190,250,220,240,18,70,180,220,260,300
TAKORADI,#DIV/0!,10,,85,100,120,200,380,650,17,250,80,150,160,480,#DIV/0!,,166,#DIV/0!,240,75,450,15,180,60,85,160,32,28,,250,320,200,180,250,45,220,250,550,400
TAMALE,#DIV/0!,40,,80,70,#DIV/0!,150,240,112,14,50,25,120,150,360,66,,120,#DIV/0!,140,30,500,20,80,30,87,400,30,20,,300,230,120,100,#DIV/0!,#DIV/0!,140,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,220,280,15,38,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,108,#DIV/0!,140,#DIV/0!,268,8,130,50,90,#DIV/0!,15,10,,250,300,250,250,#DIV/0!,50,150,#DIV/0!,230,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,366,450,18,#DIV/0!,90,140,250,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,540,25,#DIV/0!,150,#DIV/0!,#DIV/0!,25,15,,300,230,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,500,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,272,480,16,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,143.1,#DIV/0!,600,19,127.8,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,180,260
2ND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,6,,60,100,88,240,380,420,16,120,120,120,280,500,#DIV/0!,,155,#DIV/0!,200,#DIV/0!,320,24,#DIV/0!,#DIV/0!,75,130,15,10,,195,240,220,190,200,45,190,300,650,300
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,235,#DIV/0!,14,#DIV/0!,#DIV/0!,100,#DIV/0!,350,50,,110,#DIV/0!,130,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,170,290,150,120,#DIV/0!,#DIV/0!,90,#DIV/0!,240,400
CAPECOAST,400,7,,70,100,95,300,370,150,16,160,80,170,140,450,#DIV/0!,,180,#DIV/0!,200,65,600,16,140,30,85,120,25,15,,220,290,190,170,150,40,220,450,500,400
EJURA,270,#DIV/0!,,30,35,#DIV/0!,60,240,300,15,50,60,250,250,520,#DIV/0!,,120,#DIV/0!,150,#DIV/0!,600,25,75,#DIV/0!,85,#DIV/0!,12,10,,75,200,180,280,350,#DIV/0!,220,220,250,450
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,50,#DIV/0!,#DIV/0!,120,320,600,17,100,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,600,10,#DIV/0!,60,120,#DIV/0!,24,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,55,200,#DIV/0!,650,#DIV/0!
KUMASI,#DIV/0!,10,,43,#DIV/0!,#DIV/0!,125,230,240,17,72,64,180,230,500,120,,145,#DIV/0!,180,#DIV/0!,740,10,82,#DIV/0!,75,#DIV/0!,35,12,,200,250,160,150,#DIV/0!,70,165,240,260,230
MANKESSIM,500,5.5,,70,100,96,260,390,240,16,90,72,160,160,460,#DIV/0!,,200,#DIV/0!,235,90,700,11,155,70,85,170,18.5,12,,228,295,200,185,220,43,235,390,450,460
OBUASI,120,#DIV/0!,,30,120,60,100,500,550,16,250,60,400,250,400,100,,170,100,170,75,600,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,500,400
SUNYANI,60,5,,40,32,#DIV/0!,95,270,175,15,60,70,150,130,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,260,10,#DIV/0!,48,60,40,7,5,,190,250,220,240,18,70,180,220,260,300
TAKORADI,#DIV/0!,10,,85,100,120,200,380,650,17,250,80,150,160,480,#DIV/0!,,166,#DIV/0!,240,75,450,15,180,60,85,160,32,28,,250,320,200,180,250,45,220,250,550,400
TAMALE,#DIV/0!,40,,80,70,#DIV/0!,150,240,112,14,50,25,120,150,360,66,,120,#DIV/0!,140,30,500,20,80,30,87,400,30,20,,300,230,120,100,#DIV/0!,#DIV/0!,140,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,150,220,280,15,38,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,108,#DIV/0!,140,#DIV/0!,268,8,130,50,90,#DIV/0!,15,10,,250,300,250,250,#DIV/0!,50,150,#DIV/0!,230,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,366,450,18,#DIV/0!,90,140,250,480,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,540,25,#DIV/0!,150,#DIV/0!,#DIV/0!,25,15,,300,230,#DIV/0!,#DIV/0!,#DIV/0!,60,#DIV/0!,240,500,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,272,480,16,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,143.1,#DIV/0!,600,19,127.8,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,180,260
3RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,8,,80,110,90,350,400,450,16,140,120,120,250,500,#DIV/0!,,170,#DIV/0!,200,#DIV/0!,420,20,#DIV/0!,#DIV/0!,80,130,13,10,,200,240,220,190,200,85,190,350,600,400
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,235,#DIV/0!,10,#DIV/0!,#DIV/0!,100,#DIV/0!,320,50,,100,#DIV/0!,120,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,160,290,140,120,#DIV/0!,#DIV/0!,90,#DIV/0!,300,500
CAPECOAST,400,7,,70,100,95,300,370,150,16,160,80,170,140,450,#DIV/0!,,180,#DIV/0!,200,65,600,16,140,30,85,120,25,15,,220,290,190,170,150,40,220,450,500,400
EJURA,270,#DIV/0!,,30,35,#DIV/0!,60,240,300,15,50,60,250,250,520,#DIV/0!,,120,#DIV/0!,150,#DIV/0!,600,25,75,#DIV/0!,85,#DIV/0!,12,10,,75,200,180,280,350,#DIV/0!,220,220,250,450
HO,#DIV/0!,#DIV/0!,,75,#DIV/0!,#DIV/0!,150,500,350,17,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,260,#DIV/0!,,150,#DIV/0!,200,#DIV/0!,140,12,#DIV/0!,72,120,#DIV/0!,13,20,,140,220,240,240,#DIV/0!,80,200,#DIV/0!,300,350
KOFORIDUA,#DIV/0!,#DIV/0!,,50,#DIV/0!,#DIV/0!,120,320,600,17,100,#DIV/0!,#DIV/0!,#DIV/0!,560,#DIV/0!,,200,#DIV/0!,170,#DIV/0!,600,10,#DIV/0!,60,120,#DIV/0!,24,13,,270,220,#DIV/0!,#DIV/0!,#DIV/0!,55,200,#DIV/0!,650,#DIV/0!
KUMASI,#DIV/0!,10,,43,#DIV/0!,#DIV/0!,125,230,240,17,72,64,180,230,500,120,,145,#DIV/0!,180,#DIV/0!,740,10,82,#DIV/0!,75,#DIV/0!,35,12,,200,250,160,150,#DIV/0!,70,165,240,260,230
MANKESSIM,500,5.5,,70,100,96,260,390,240,16,90,72,160,160,460,#DIV/0!,,200,#DIV/0!,235,90,700,11,155,70,85,170,18.5,12,,228,295,200,185,220,43,235,390,450,460
OBUASI,120,#DIV/0!,,30,120,60,100,500,550,16,250,60,400,250,400,100,,170,100,170,75,600,#DIV/0!,100,#DIV/0!,70,#DIV/0!,10,5,,135,190,180,180,300,50,220,250,500,400
SUNYANI,60,5,,40,32,#DIV/0!,95,270,175,15,60,70,150,130,440,#DIV/0!,,112,#DIV/0!,180,#DIV/0!,260,10,#DIV/0!,48,60,40,7,5,,190,250,220,240,18,70,180,220,260,300
TAKORADI,#DIV/0!,10,,85,100,120,200,380,650,17,250,80,150,160,480,#DIV/0!,,166,#DIV/0!,240,75,450,15,180,60,85,160,32,28,,250,320,200,180,250,45,220,250,550,400
TAMALE,#DIV/0!,40,,80,70,#DIV/0!,150,240,112,14,50,25,120,150,360,66,,120,#DIV/0!,140,30,500,20,80,30,87,400,30,20,,300,230,120,100,#DIV/0!,#DIV/0!,140,200,90,200
TECHIMAN,#DIV/0!,#DIV/0!,,45,#DIV/0!,#DIV/0!,220,220,280,15,75,#DIV/0!,#DIV/0!,#DIV/0!,370,#DIV/0!,,100,#DIV/0!,150,#DIV/0!,277,7,130,72,90,#DIV/0!,14,13,,240,300,240,240,#DIV/0!,40,150,#DIV/0!,50,300
TEMA,#DIV/0!,#DIV/0!,,90,130,#DIV/0!,#DIV/0!,366,450,18,#DIV/0!,120,140,250,480,#DIV/0!,,150,#DIV/0!,250,#DIV/0!,540,30,#DIV/0!,70,110,#DIV/0!,20,15,,300,210,#DIV/0!,#DIV/0!,#DIV/0!,80,#DIV/0!,240,300,#DIV/0!
WA,#DIV/0!,#DIV/0!,,70,#DIV/0!,#DIV/0!,#DIV/0!,272,480,16,100,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,142.85,#DIV/0!,143.1,#DIV/0!,600,19,127.8,#DIV/0!,141.1,#DIV/0!,#DIV/0!,30,,160,220,#DIV/0!,142.85,#DIV/0!,#DIV/0!,136.25,#DIV/0!,180,260
4TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCRA,#DIV/0!,8,,80,110,90,350,400,450,16,140,120,120,250,500,#DIV/0!,,170,#DIV/0!,200,#DIV/0!,420,20,#DIV/0!,#DIV/0!,80,130,13,10,,200,240,220,190,200,85,190,350,600,400
BOLGATANGA,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,235,#DIV/0!,10,#DIV/0!,#DIV/0!,100,#DIV/0!,320,50,,100,#DIV/0!,120,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,30,,160,290,140,120,#DIV/0!,#DIV/0!,90,#DIV/0!,300,500
CAPECOAST,400,7,,70,100,95,300,370,150,16,160,80,170,140,450,#DIV/0!,,180,#DIV/0!,200,65,600,16,140,30,85,120,25,15,,220,290,190,170,150,40,220,450,500,400
EJURA,270,#DIV/0!,,20,32,350,60,240,300,15,50,60,250,#DIV/0!,500,#DIV/0!,,120,#DIV/0!,150,200,600,25,75,#DIV/0!,85,#DIV/0!,10,9,,200,280,250,180,270,#DIV/0!,150,#DIV/0!,220,450
